client_number;entity_number;is_first
168490;2354;True
168587;2355;True
168684;2356;True
168781;2357;True
168975;2363;True
169266;2366;True
169363;2367;True
169460;2371;True
169654;2375;True
169654;2376;False
169654;2379;False
169654;2377;False
169654;2378;False
169751;2382;True
169945;2384;True
169945;2385;False
170333;2395;True
170527;2399;True
170624;2400;True
170721;2401;True
170818;2402;True
170818;2405;False
170915;2406;True
171012;2403;True
171012;2404;False
171303;2410;True
171303;2411;False
171497;2412;True
171594;2413;True
171594;2414;False
171691;2415;True
171788;2416;True
171982;2418;True
171982;2420;False
172079;2419;True
172176;2421;True
172467;2426;True
172661;2428;True
172661;2429;False
172661;2430;False
172758;2431;True
172855;2432;True
172952;2433;True
173049;1460;True
173049;2435;False
173243;2437;True
173340;2438;True
173437;2439;True
173534;2440;True
173728;2443;True
173728;2444;False
173728;2445;False
173825;2446;True
174019;2448;True
174213;2450;True
174310;2453;True
174407;2451;True
174407;2455;False
174504;2452;True
174504;2454;False
174504;2376;False
174504;2456;False
174698;2458;True
174698;2457;False
174795;2459;True
174795;2460;False
173922;2447;True
174892;2461;True
174989;2288;True
175086;2464;True
175183;2465;True
175377;2467;True
175377;2468;False
175280;2466;True
175280;722;False
175280;721;False
175474;2469;True
175474;2470;False
175474;2471;False
175571;2472;True
175571;2473;False
175668;2474;True
175862;2478;True
175959;2479;True
176056;2480;True
176056;2481;False
176153;2482;True
176250;2483;True
176347;2484;True
176444;2485;True
176541;2486;True
176638;2487;True
176735;2488;True
176735;2489;False
176832;2490;True
176929;2491;True
177026;2492;True
177123;2493;True
177220;2494;True
177414;2494;True
177511;2496;True
177608;2497;True
148508;2080;True
148508;2081;False
148508;2082;False
178093;2500;True
178384;2503;True
178481;1847;True
178578;2504;True
178966;2509;True
179063;2508;True
179160;2510;True
179257;2511;True
179645;2515;True
179645;219;False
179645;97;False
179839;2516;True
179936;2518;True
180033;2519;True
180227;2523;True
129302;1820;True
129302;2524;False
180518;2528;True
180518;2529;False
180615;2530;True
180712;2531;True
180809;2532;True
180809;2533;False
181003;2536;True
181585;1787;True
